event_id,title,category,fomo_section,status,date,day_of_week,month,location,source,url,notes,enriched
dia-del-ceviche-open-house,Día del Ceviche Open House,Event,Daily Events,pending,2026-06-21,Sunday,2026-06,Berlin,Website,https://sabinehueck.de/event/dia-del-ceviche-open-house-2/,blocked/empty; title from URL,True
event-22,https://www.instagram.com/p/DZJ6EBDFYEg/,Event,Daily Events,pending,2026-06-21,Sunday,2026-06,,Instagram,https://www.instagram.com/p/DZJ6EBDFYEg/,Instagram login wall,False
funding-your-way-a-founder-s-guide-to-raising-capital,Funding Your Way: A Founder's Guide to Raising Capital,Event,Daily Events,pending,2026-06-22,Monday,2026-06,Berlin,Luma,https://luma.com/4s8o24qq,side event to K5 Conference,True
the-smarter-e-europe,The smarter E Europe,Event,Daily Events,pending,2026-06-23,Tuesday,2026-06,Messe München,Website,https://www.thesmartere.de/home,"Munich, not Berlin",True
high-risk-hr-preparing-your-people-team-for-the-eu-ai-act,High-Risk HR: Preparing Your People Team for the EU AI Act,Event,Daily Events,pending,2026-06-23,Tuesday,2026-06,"BIT - Beam Institute of Technology, Genthiner Str. 40, 10785 Berlin",Luma,https://luma.com/ala06e9e,,True
mental-matters-by-kira-marie-cremer-x-techniker-krankenkasse,'Mental Matters' by Kira Marie Cremer x Techniker Krankenkasse,Event,Daily Events,pending,2026-06-24,Wednesday,2026-06,"Mindspace Kurfürstendamm, Berlin",Website,https://kiramariecremer.de/mental-matters,roadshow,True
mobile-de-the-big-secret-summer-community-event,Mobile.de: THE BIG SECRET SUMMER COMMUNITY EVENT,Event,Daily Events,pending,2026-06-24,Wednesday,2026-06,"mobile.de HQ, Berlin",Luma,https://luma.com/jcru7jsl,address hidden,True
event-23,https://www.instagram.com/p/DZKIsNCIh9D/,Event,Daily Events,pending,2026-06-24,Wednesday,2026-06,,Instagram,https://www.instagram.com/p/DZKIsNCIh9D/,Instagram login wall,False
know-your-numbers-the-biomarkers-that-matter-for-longevity,KNOW YOUR NUMBERS: The Biomarkers That Matter for Longevity,Event,Daily Events,pending,2026-06-24,Wednesday,2026-06,"Jodel Office, Wilhelmstraße 118, 10963 Berlin",Luma,https://luma.com/age-f2wp,,True
founders-friends-berlin-meetup-summer-party,Founders & Friends Berlin Meetup - Summer Party,Event,Daily Events,pending,2026-06-24,Wednesday,2026-06,"Playground Berlin, Adlergestell 105, 12439 Berlin",Luma,https://luma.com/892812u8,,True
event-24,https://www.instagram.com/p/DZMsrxtCGmm/,Event,Daily Events,pending,2026-06-24,Wednesday,2026-06,,Instagram,https://www.instagram.com/p/DZMsrxtCGmm/,Instagram login wall,False
to-customer-value-and-beyond-by-addressable,To Customer Value and Beyond by addressable,Event,Daily Events,pending,2026-06-25,Thursday,2026-06,"SAP SE, George-Stephenson-Str. 7-11, 10557 Berlin",Luma,https://luma.com/knwtu12s,,True
event-25,https://www.instagram.com/p/DWy453lCN7J/,Event,Daily Events,confirmed,2026-06-26,Friday,2026-06,,Instagram,https://www.instagram.com/p/DWy453lCN7J/,Instagram login wall,False
n8n-berlin-community-meetup-rooftop-edition,n8n Berlin Community Meetup - Rooftop Edition,Event,Daily Events,pending,2026-06-26,Friday,2026-06,"Impact Hub Berlin, Rollbergstraße 28A, 12053 Berlin",Luma,https://luma.com/n8n-vvb3,,True
kreuzberg-festival-bergmannstraenfest,Kreuzberg Festival (Bergmannstraßenfest),Event,Daily Events,pending,2026-06-26,Friday,2026-06,"Bergmannstraße, 10961 Berlin",Website,https://www.berlin.de/en/events/1934675-2842498-bergmannstrassenfest.en.html,26-28 June; free,True
event-26,https://www.instagram.com/reel/DYo_L3diaQz/,Event,Daily Events,pending,2026-06-28,Sunday,2026-06,,Instagram,https://www.instagram.com/reel/DYo_L3diaQz/,Instagram login wall,False
1-hour-reading-rave-with-live-music-volkspark-am-weinberg,1-Hour Reading Rave with Live Music | Volkspark am Weinberg,Event,Daily Events,pending,2026-06-28,Sunday,2026-06,"Volkspark am Weinberg, Veteranenstraße 9, 10119 Berlin",Luma,https://luma.com/the-3vx2,free outdoor,True
event-27,https://www.instagram.com/p/DZDBXFDIN01/,Event,Daily Events,pending,2026-06-28,Sunday,2026-06,,Instagram,https://www.instagram.com/p/DZDBXFDIN01/,Instagram login wall,False
stripe-tour-berlin-2026,Stripe Tour Berlin 2026,Event,Daily Events,pending,2026-06-30,Tuesday,2026-06,"Estrel Berlin, Sonnenallee 225, 12057 Berlin",Website,https://stripetour.com/berlin,,True
taste-your-startup,Taste your Startup,Event,Daily Events,pending,2026-06-30,Tuesday,2026-06,Berlin,Luma,https://luma.com/ufxubu91,,True
business-creator-summit-bcs,Business Creator Summit (BCS),Event,Daily Events,pending,2026-06-30,Tuesday,2026-06,Kulturbrauerei Berlin,Website,https://www.business-creator-summit.com/,,True
off-the-record-berlin,Off the Record - Berlin,Event,Daily Events,pending,2026-06-30,Tuesday,2026-06,"KINK Bar & Restaurant, Schönhauser Allee 176, 10119 Berlin",Luma,https://luma.com/djv96z6b,,True
berlin-shanghai-night,Berlin × Shanghai Night,Event,Daily Events,pending,2026-06-30,Tuesday,2026-06,Berlin,Luma,https://luma.com/98r3k410,,True
money-money-money-with-stock-market,Money Money Money... with Stock Market,Event,Daily Events,pending,2026-07-01,Wednesday,2026-07,"betahaus Moritzplatz, Lobeckstraße 30, 10969 Berlin",Luma,https://luma.com/stpl5828,,True
berlin-deep-tech-nexus-meetup-12-escp,Berlin Deep Tech Nexus Meetup #12 @ ESCP,Event,Daily Events,pending,2026-07-01,Wednesday,2026-07,"ESCP Business School Berlin, Heubnerweg 8-10, 14059 Berlin",Luma,https://luma.com/aumzljqi,,True
wellbeing-festival,Wellbeing Festival,Event,Daily Events,pending,2026-07-03,Friday,2026-07,"nook Lakehouse, Bad Saarow",Website,https://www.nooksociety.com/Wellbeing-Festival,,True
the-slow-weekend,The Slow Weekend,Event,Daily Events,pending,2026-07-03,Friday,2026-07,Brandenburg,Website,https://www.elevateretreats.de/the-slow-weekend,blocked/empty; title from URL,True
people-culture-dinner-vol-2-africa-capital-and-connect,People & Culture Dinner Vol 2: Africa Capital and Connect,Event,Daily Events,pending,2026-07-03,Friday,2026-07,Berlin,Luma,https://luma.com/q5o4xu1t,,True
event-28,https://www.instagram.com/p/DY4BNXpsrRZ/,Event,Daily Events,pending,2026-07-04,Saturday,2026-07,,Instagram,https://www.instagram.com/p/DY4BNXpsrRZ/,Instagram login wall,False
wearedevelopers-world-congress,WeAreDevelopers World Congress,Event,Daily Events,confirmed,2026-07-08,Wednesday,2026-07,Berlin,Website,https://www.wearedevelopers.com/world-congress,8-10 July,True
classic-open-air-on-gendarmenmarkt,Classic Open Air on Gendarmenmarkt,Event,Daily Events,pending,2026-07-09,Thursday,2026-07,"Gendarmenmarkt, Berlin",Website,https://www.berlin.de/en/events/2096841-2842498-classic-open-air-at-gendarmenmarkt.en.html,9-14 July,True
event-29,https://www.instagram.com/p/DZFiyA4taJZ/,Event,Daily Events,pending,2026-07-11,Saturday,2026-07,,Instagram,https://www.instagram.com/p/DZFiyA4taJZ/,Instagram login wall,False
hec-essec-escp-bastille-day-alumni-meetup-berlin,HEC ESSEC ESCP - Bastille Day - Alumni Meetup Berlin,Event,Daily Events,confirmed,2026-07-14,Tuesday,2026-07,"Café am Neuen See, Berlin",Luma,https://luma.com/23l7b7aw,,True
udk-rundgang-open-days,UdK Rundgang - Open Days,Event,Daily Events,pending,2026-07-18,Saturday,2026-07,"Various locations, Berlin (UdK)",Website,https://www.udk-berlin.de/en/event/rundgang-2025/,page shows 2025 edition,True
lesbian-and-gay-city-festival-stadtfest,Lesbian and Gay City Festival (Stadtfest),Event,Daily Events,pending,2026-07-18,Saturday,2026-07,"Nollendorfplatz, Berlin-Schöneberg",Website,https://www.stadtfest.berlin/en/index.html,18-19 July,True
lollapalooza-berlin,Lollapalooza Berlin,Event,Daily Events,pending,2026-07-18,Saturday,2026-07,"Olympiastadion & Olympiapark, Berlin",Website,https://www.lollapaloozade.com/en,18-19 July,True
berliner-csd-christopher-street-day,Berliner CSD (Christopher Street Day),Event,Daily Events,pending,2026-07-25,Saturday,2026-07,Berlin,Website,https://csd-berlin.de/,date approximate,True
britzer-gartennacht-2026,Britzer Gartennacht 2026,Event,Daily Events,pending,2026-07-26,Sunday,2026-07,"Britzer Garten, Berlin",Website,https://www.botanische-nacht.de/,redirects; date uncertain,True
tanz-im-august-internationales-tanzfestival-berlin,Tanz im August - Internationales Tanzfestival Berlin,Event,Daily Events,pending,2026-08-28,Friday,2026-08,"HAU Hebbel am Ufer & various, Berlin",Website,https://www.tanzimaugust.de/ueber-uns,about page,True
pistachio-street-food-festival,Pistachio Street Food Festival,Event,Daily Events,pending,2026-08-29,Saturday,2026-08,Berlin,Website,https://true-italian.com/pistachio-street-food-festival/,29-30 August,True
productlab-conference,Productlab Conference,Event,Daily Events,pending,2026-09-15,Tuesday,2026-09,Berlin,Website,https://productlab.app/#tickets,15-17 Sept,True
berlin-ai-day-by-buildersklub,Berlin AI Day by Buildersklub,Event,Daily Events,pending,2026-09-15,Tuesday,2026-09,"Festsaal Kreuzberg, Berlin",Luma,https://luma.com/kco33yis,,True
agetechx-2026,AGETECHX 2026,Event,Daily Events,pending,2026-10-05,Monday,2026-10,Berlin,Luma,https://luma.com/agetechx-berlin,5-6 Oct,True
von-diesel-zu-elektro-die-zukunft-der-baustellen,Von Diesel zu Elektro: Die Zukunft der Baustellen,Event,Daily Events,pending,2026-10-09,Friday,2026-10,Berlin,Luma,https://luma.com/zmyccy0w,past event,True
crebernik-big-news-from-ewor-60-activity-7324764756005826561,https://www.linkedin.com/posts/crebernik_𝗕𝗶𝗴-𝗻𝗲𝘄𝘀-𝗳𝗿𝗼𝗺-𝗘𝗪𝗢𝗥-60-activity-7324764756005826561-gCeT,Editorial,Shout-out,confirmed,,,,,LinkedIn,https://www.linkedin.com/posts/crebernik_𝗕𝗶𝗴-𝗻𝗲𝘄𝘀-𝗳𝗿𝗼𝗺-𝗘𝗪𝗢𝗥-60-activity-7324764756005826561-gCeT,blocked (LinkedIn login/auth wall),False
say-hello-to-your-new-favourite-summer-drink-all-dae-hard-se,Say hello to your new favourite summer drink: all dae hard seltzer — alcoholic sparkling water. Developed by a mixologist in three unique and delicious flavo...,Editorial,Shout-out,confirmed,,,,,Text,,,False
soups-onigiris-by-onibar-whether-it-s-a-casual-gathering-or-,"Soups & Onigiris by ONIBAR. Whether it's a casual gathering or a formal occasion, ONIBAR brings their bold flavors of Onigiris straight to you. Reach out her...",Sponsor,Main Sponsor,confirmed,,,,,Text,,,False
the-league,The League,Sponsor,Main Sponsor,pending,,,,,Text,,,False
n8n-berlin-community-meetup,n8n Berlin Community Meetup,Opportunity,Top Events & Opportunities,confirmed,,,,"Impact Hub Berlin, Rollbergstraße 28A, 12053 Berlin",Luma,https://luma.com/2hel1ifq,waitlist only,True
andreas-klinger-prototype,Andreas Klinger @ PROTOTYPE,Spotlight,Spotlight & Opportunities,confirmed,,,,,YouTube,https://www.youtube.com/@prototypecap,"YouTube channel, not an event",True
we-re-hiring-senior-associate-or-principal,We're hiring: Senior Associate or Principal,Spotlight,Spotlight & Opportunities,pending,,,,,LinkedIn,https://www.linkedin.com/posts/philipp-buddemeier_were-hiring-senior-associate-or-principal-share-7454497608858923009-YHeT,LinkedIn job post; login wall,True
beyond-the-ai-hype-wo-wir-wirklich-stehen-und-was-uns-erwart,Beyond the AI hype: Wo wir wirklich stehen und was uns erwartet,Spotlight,Spotlight & Opportunities,pending,,,,,YouTube,https://www.youtube.com/watch?v=YNavwk7qk24,YouTube video (OMR),True
women-startup-award,Women Startup Award,Spotlight,Spotlight & Opportunities,pending,,,,"UnternehmerTUM, Garching b. München",Website,http://unternehmertum.de/en/landingpages/women-startup-award,award program; application deadline 2026-06-15,True
festtage-2026-staatsoper,Festtage 2026 (Staatsoper),Festival,All-Day Festivals & Conferences,confirmed,,,,"Staatsoper Unter den Linden, Berlin",Website,https://www.staatsoper-berlin.de/de/spielplan/festtage-2026/,page blocked/empty; title from URL,True
